Country,Population 2020,Yearly Change,Net Change,Density,Land Area,Migrant
Papua New Guinea,"8,947,024",1.95 %,"170,915",20,"452,860",-800
Serbia,"8,737,371",-0.40 %,"-34,864",100,"87,460","4,000"
Israel,"8,655,535",1.60 %,"136,158",400,"21,640","10,000"
Switzerland,"8,654,622",0.74 %,"63,257",219,"39,516","52,000"
Togo,"8,278,724",2.43 %,"196,358",152,"54,390","-2,000"
Sierra Leone,"7,976,983",2.10 %,"163,768",111,"72,180","-4,200"
Hong Kong,"7,496,981",0.82 %,"60,827","7,140","1,050","29,308"
Laos,"7,275,560",1.48 %,"106,105",32,"230,800","-14,704"
Paraguay,"7,132,538",1.25 %,"87,902",18,"397,300","-16,556"
Bulgaria,"6,948,445",-0.74 %,"-51,674",64,"108,560","-4,800"
Libya,"6,871,292",1.38 %,"93,840",4,"1,759,540","-1,999"
Lebanon,"6,825,445",-0.44 %,"-30,268",667,"10,230","-30,012"
Nicaragua,"6,624,554",1.21 %,"79,052",55,"120,340","-21,272"
Kyrgyzstan,"6,524,195",1.69 %,"108,345",34,"191,800","-4,000"
El Salvador,"6,486,205",0.51 %,"32,652",313,"20,720","-40,539"
Turkmenistan,"6,031,200",1.50 %,"89,111",13,"469,930","-5,000"
Singapore,"5,850,342",0.79 %,"46,005","8,358",700,"27,028"
Denmark,"5,792,202",0.35 %,"20,326",137,"42,430","15,200"
Finland,"5,540,720",0.15 %,"8,564",18,"303,890","14,000"
Congo,"5,518,087",2.56 %,"137,579",16,"341,500","-4,000"
Slovakia,"5,459,642",0.05 %,"2,629",114,"48,088","1,485"
Norway,"5,421,241",0.79 %,"42,384",15,"365,268","28,000"
Oman,"5,106,626",2.65 %,"131,640",16,"309,500","87,400"
State of Palestine,"5,101,414",2.41 %,"119,994",847,"6,020","-10,563"
Costa Rica,"5,094,118",0.92 %,"46,557",100,"51,060","4,200"
Liberia,"5,057,681",2.44 %,"120,307",53,"96,320","-5,000"
Ireland,"4,937,786",1.13 %,"55,291",72,"68,890","23,604"
Central African Republic,"4,829,767",1.78 %,"84,582",8,"622,980","-40,000"
New Zealand,"4,822,233",0.82 %,"39,170",18,"263,310","14,881"
Mauritania,"4,649,658",2.74 %,"123,962",5,"1,030,700","5,000"
Panama,"4,314,767",1.61 %,"68,328",58,"74,340","11,200"
Kuwait,"4,270,571",1.51 %,"63,488",240,"17,820","39,520"
Croatia,"4,105,267",-0.61 %,"-25,037",73,"55,960","-8,001"
Moldova,"4,033,963",-0.23 %,"-9,300",123,"32,850","-1,387"
Georgia,"3,989,167",-0.19 %,"-7,598",57,"69,490","-10,000"
Eritrea,"3,546,421",1.41 %,"49,304",35,"101,000","-39,858"
Uruguay,"3,473,730",0.35 %,"11,996",20,"175,020","-3,000"
Bosnia and Herzegovina,"3,280,819",-0.61 %,"-20,181",64,"51,000","-21,585"
Mongolia,"3,278,290",1.65 %,"53,123",2,"1,553,560",-852
Armenia,"2,963,243",0.19 %,"5,512",104,"28,470","-4,998"
Jamaica,"2,961,167",0.44 %,"12,888",273,"10,830","-11,332"
Qatar,"2,881,053",1.73 %,"48,986",248,"11,610","40,000"
Albania,"2,877,797",-0.11 %,"-3,120",105,"27,400","-14,000"
Puerto Rico,"2,860,853",-2.47 %,"-72,555",323,"8,870","-97,986"
Lithuania,"2,722,289",-1.35 %,"-37,338",43,"62,674","-32,780"
Namibia,"2,540,905",1.86 %,"46,375",3,"823,290","-4,806"
Gambia,"2,416,668",2.94 %,"68,962",239,"10,120","-3,087"
Botswana,"2,351,627",2.08 %,"47,930",4,"566,730","3,000"
Gabon,"2,225,734",2.45 %,"53,155",9,"257,670","3,260"
Lesotho,"2,142,249",0.80 %,"16,981",71,"30,360","-10,047"
North Macedonia,"2,083,374",0.00 %,-85,83,"25,220","-1,000"
Slovenia,"2,078,938",0.01 %,284,103,"20,140","2,000"
Guinea-Bissau,"1,968,001",2.45 %,"47,079",70,"28,120","-1,399"
Latvia,"1,886,198",-1.08 %,"-20,545",30,"62,200","-14,837"
Bahrain,"1,701,575",3.68 %,"60,403","2,239",760,"47,800"
Equatorial Guinea,"1,402,985",3.47 %,"46,999",50,"28,050","16,000"
Trinidad and Tobago,"1,399,488",0.32 %,"4,515",273,"5,130",-800
Estonia,"1,326,535",0.07 %,887,31,"42,390","3,911"
Timor-Leste,"1,318,445",1.96 %,"25,326",89,"14,870","-5,385"
Mauritius,"1,271,768",0.17 %,"2,100",626,"2,030",0
Cyprus,"1,207,359",0.73 %,"8,784",131,"9,240","5,000"
Eswatini,"1,160,164",1.05 %,"12,034",67,"17,200","-8,353"
Djibouti,"988,000",1.48 %,"14,440",43,"23,180",900
Fiji,"896,445",0.73 %,"6,492",49,"18,270","-6,202"
Réunion,"895,312",0.72 %,"6,385",358,"2,500","-1,256"
Comoros,"869,601",2.20 %,"18,715",467,"1,861","-2,000"
Guyana,"786,552",0.48 %,"3,786",4,"196,850","-6,000"
Bhutan,"771,608",1.12 %,"8,516",20,"38,117",320
Solomon Islands,"686,884",2.55 %,"17,061",25,"27,990","-1,600"
Macao,"649,335",1.39 %,"8,890","21,645",30,"5,000"
Montenegro,"628,066",0.01 %,79,47,"13,450",-480
Luxembourg,"625,978",1.66 %,"10,249",242,"2,590","9,741"
Western Sahara,"597,339",2.55 %,"14,876",2,"266,000","5,582"
Suriname,"586,632",0.90 %,"5,260",4,"156,000","-1,000"
Cabo Verde,"555,987",1.10 %,"6,052",138,"4,030","-1,342"
Micronesia,"548,914",1.00 %,"5,428",784,700,"-2,957"
Maldives,"540,544",1.81 %,"9,591","1,802",300,"11,370"
Malta,"441,543",0.27 %,"1,171","1,380",320,900
Brunei ,"437,479",0.97 %,"4,194",83,"5,270",0
Guadeloupe,"400,124",0.02 %,68,237,"1,690","-1,440"
Belize,"397,628",1.86 %,"7,275",17,"22,810","1,200"
Bahamas,"393,244",0.97 %,"3,762",39,"10,010","1,000"
Martinique,"375,265",-0.08 %,-289,354,"1,060",-960
Iceland,"341,243",0.65 %,"2,212",3,"100,250",380
Vanuatu,"307,145",2.42 %,"7,263",25,"12,190",120
French Guiana,"298,682",2.70 %,"7,850",4,"82,200","1,200"
Barbados,"287,375",0.12 %,350,668,430,-79
New Caledonia,"285,498",0.97 %,"2,748",16,"18,280",502
French Polynesia,"280,908",0.58 %,"1,621",77,"3,660","-1,000"
Mayotte,"272,815",2.50 %,"6,665",728,375,0
Sao Tome & Principe,"219,159",1.91 %,"4,103",228,960,"-1,680"
Samoa,"198,414",0.67 %,"1,317",70,"2,830","-2,803"
Saint Lucia,"183,627",0.46 %,837,301,610,0
Channel Islands,"173,863",0.93 %,"1,604",915,190,"1,351"
Guam,"168,775",0.89 %,"1,481",313,540,-506
Curaçao,"164,093",0.41 %,669,370,444,515
Kiribati,"119,449",1.57 %,"1,843",147,810,-800
Grenada,"112,523",0.46 %,520,331,340,-200
St. Vincent & Grenadines,"110,940",0.32 %,351,284,390,-200
Aruba,"106,766",0.43 %,452,593,180,201
Tonga,"105,695",1.15 %,"1,201",147,720,-800
U.S. Virgin Islands,"104,425",-0.15 %,-153,298,350,-451
Seychelles,"98,347",0.62 %,608,214,460,-200
Antigua and Barbuda,"97,929",0.84 %,811,223,440,0
Isle of Man,"85,033",0.53 %,449,149,570, 
Andorra,"77,265",0.16 %,123,164,470, 
Dominica,"71,986",0.25 %,178,96,750, 
Cayman Islands,"65,722",1.19 %,774,274,240, 
Bermuda,"62,278",-0.36 %,-228,"1,246",50, 
Marshall Islands,"59,190",0.68 %,399,329,180, 
Northern Mariana Islands,"57,559",0.60 %,343,125,460, 
Greenland,"56,770",0.17 %,98,0,"410,450", 
American Samoa,"55,191",-0.22 %,-121,276,200, 
Saint Kitts & Nevis,"53,199",0.71 %,376,205,260, 
Faeroe Islands,"48,863",0.38 %,185,35,"1,396", 
Sint Maarten,"42,876",1.15 %,488,"1,261",34, 
Monaco,"39,242",0.71 %,278,"26,337",1, 
Turks and Caicos,"38,717",1.38 %,526,41,950, 
Saint Martin,"38,666",1.75 %,664,730,53, 
Liechtenstein,"38,128",0.29 %,109,238,160, 
San Marino,"33,931",0.21 %,71,566,60, 
Gibraltar,"33,691",-0.03 %,-10,"3,369",10, 
British Virgin Islands,"30,231",0.67 %,201,202,150, 
Caribbean Netherlands,"26,223",0.94 %,244,80,328, 
Palau,"18,094",0.48 %,86,39,460, 
Cook Islands,"17,564",0.09 %,16,73,240, 
Anguilla,"15,003",0.90 %,134,167,90, 
Tuvalu,"11,792",1.25 %,146,393,30, 
Wallis & Futuna,"11,239",-1.69 %,-193,80,140, 
Nauru,"10,824",0.63 %,68,541,20, 
Saint Barthelemy,"9,877",0.30 %,30,470,21, 
Saint Helena,"6,077",0.30 %,18,16,390, 
Saint Pierre & Miquelon,"5,794",-0.48 %,-28,25,230, 
Montserrat,"4,992",0.06 %,3,50,100, 
Falkland Islands,"3,480",3.05 %,103,0,"12,170", 
Niue,"1,626",0.68 %,11,6,260, 
Tokelau,"1,357",1.27 %,17,136,10, 
Holy See,801,0.25 %,2,"2,003",0, 
